Year,Personal and Family,Foreign Government or University,Foreign Private Sponsor,International Organization,Current Employment,U.S. College or University,U.S. Government,U.S. Private Sponsor,Other Sources
1999,345570,22927,13760,2533,11578,97095,3309,13841,4109
2000,366629,21684,13387,2303,12908,108622,3553,13672,5108
2001,395839,21535,11857,1856,10940,120364,3677,15561,1369
2002,385889,16273,19561,1693,11119,124298,3085,14366,10038
2003,385543,13699,11888,1964,10111,134015,2921,12326,42
2004,349373,15069,6796,1527,21034,138515,3361,27094,2270
2005,358318,14476,8661,1326,21745,146211,2501,8367,3161
2006,358281,18704,6682,1685,29262,152017,3450,8003,4901
2007,388821,21085,6522,1390,29399,161633,3282,6013,5660
2008,435879,24850,6043,1343,33581,152457,4030,7388,6045
2009,427567,31451,9458,1730,36201,166369,4660,6685,6802
2010,458667,41589,7063,1549,33625,165544,4219,5827,5194
2011,486524,44344,9670,1869,40494,164394,4746,5871,6583
2012,520920,57898,9229,1412,43800,169566,6399,5218,5202
2013,574129,66147,9574,1696,49503,171218,4186,4548,5051
2014,619999,75042,9735,2489,48632,203337,4915,4124,6653
2015,694152,77244,9395,2088,68893,177453,4175,3132,7307
2016,650960,61837,7559,2013,177773,162134,5941,3191,7414
2017,641318,56549,6301,1599,205642,172531,2597,2657,5598
2018,623901,46937,6196,908,225378,183647,1935,2632,3765
